age_month,Total_sera,Total_person,GMT,lower_CI,upper_CI
0,288,288,6.82280037,6.664674237,6.980926504
1,11,11,5.221803233,4.707591865,5.7360146
2,277,277,5.224333135,5.097641596,5.351024674
4,176,176,4.213710866,4.065356015,4.362065717
5,2,2,3.824248374,1.870837447,5.777659301
6,210,210,3.34985861,3.234983902,3.464733318
7,1,1,2.657507576,,
9,12,12,7.302557849,6.366503373,8.238612325
10,34,34,6.775444332,6.228974994,7.321913669
11,43,43,7.256459092,6.765606522,7.747311663
12,52,52,7.282882248,7.008569972,7.557194525
13,40,40,6.817810773,6.446556071,7.189065475
14,49,49,7.040475102,6.679030543,7.401919661
15,36,36,6.653359556,6.156018698,7.150700414
16,14,14,6.811658581,5.893430273,7.729886888
17,10,10,7.076413793,6.377260163,7.775567422
18,7,7,7.171192443,6.8573283,7.485056587
19,3,3,7.742775755,6.04588256,9.43966895
20,1,1,5.738353461,,
21,3,3,6.666950858,6.107004744,7.226896972
22,3,3,7.655680419,7.334637107,7.976723732
